,n_clicks,n_visitas,monto_compras,monto_descuentos,dias_primera_compra,info_perfil
82,337.0,73.0,4034.2,77.0,248.0,197.0
83,294.0,88.0,3193.5,107.1,165.0,161.0
84,237.0,58.0,3640.3,63.9,186.0,228.0
85,198.0,91.0,2126.4,90.0,176.0,208.0
86,216.0,63.0,3044.5,82.9,269.0,137.0
87,191.0,45.0,3661.3,68.7,159.0,147.0
88,359.0,56.0,2985.4,85.0,220.0,132.0
89,261.0,55.0,3657.9,91.0,158.0,169.0
90,311.0,49.0,2847.3,86.8,200.0,242.0
91,189.0,78.0,3384.9,85.7,174.0,148.0
92,262.0,68.0,3737.4,88.6,177.0,182.0
93,312.0,80.0,2494.3,78.8,187.0,204.0
94,236.0,58.0,3831.4,75.1,236.0,209.0
95,305.0,71.0,3628.8,83.9,131.0,130.0
96,198.0,49.0,3534.8,84.5,181.0,166.0
97,184.0,62.0,2431.4,74.8,141.0,193.0
98,272.0,63.0,2919.6,89.7,302.0,156.0
99,234.0,90.0,3297.7,86.4,189.0,182.0
100,285.0,61.0,2300.5,101.6,278.0,234.0
101,153.0,56.0,3175.3,74.9,109.0,204.0
102,289.0,64.0,2657.5,82.5,172.0,191.0
103,384.0,76.0,2870.3,107.1,220.0,225.0
104,252.0,81.0,4043.5,90.3,137.0,160.0
105,255.0,49.0,4604.7,88.8,222.0,180.0
106,262.0,70.0,3483.1,86.3,178.0,160.0
107,158.0,53.0,2913.4,96.1,212.0,172.0
108,274.0,65.0,4843.5,54.2,230.0,166.0
109,171.0,67.0,1754.2,92.7,192.0,227.0
110,231.0,46.0,2704.6,113.2,227.0,193.0
111,316.0,47.0,3175.1,68.4,165.0,188.0
112,216.0,59.0,3486.4,88.0,250.0,218.0
113,278.0,61.0,1667.6,96.8,218.0,112.0
114,304.0,64.0,2477.5,91.5,132.0,184.0
115,267.0,74.0,3513.2,100.1,234.0,227.0
116,183.0,52.0,2856.3,31.2,185.0,214.0
117,236.0,70.0,4391.3,73.9,300.0,161.0
118,352.0,67.0,3133.2,90.1,163.0,165.0
119,150.0,62.0,3348.9,82.0,138.0,161.0
120,239.0,65.0,2611.4,84.5,151.0,216.0
121,225.0,80.0,3346.5,104.0,150.0,174.0
122,259.0,27.0,3288.3,86.1,203.0,251.0
123,291.0,73.0,3019.4,51.1,152.0,242.0
124,334.0,48.0,4118.8,84.6,205.0,215.0
125,239.0,59.0,2757.7,46.3,178.0,186.0
126,294.0,49.0,4002.7,59.4,258.0,158.0
127,278.0,75.0,2900.8,48.1,181.0,139.0
128,277.0,70.0,2759.5,79.9,171.0,188.0
129,224.0,61.0,3115.6,88.4,173.0,175.0
130,202.0,69.0,3260.6,97.4,227.0,164.0
131,197.0,66.0,2897.7,59.0,201.0,207.0
132,214.0,42.0,2071.1,72.6,215.0,198.0
133,269.0,69.0,4986.9,78.3,194.0,246.0
134,291.0,54.0,4344.5,66.2,193.0,177.0
135,269.0,72.0,2854.0,76.6,201.0,210.0
136,225.0,71.0,2254.3,83.8,188.0,150.0
137,344.0,77.0,3039.4,84.9,195.0,163.0
138,330.0,66.0,4421.1,68.1,190.0,191.0
139,235.0,55.0,4013.6,82.1,223.0,219.0
140,211.0,85.0,2748.4,63.4,203.0,186.0
141,259.0,70.0,2859.2,98.1,225.0,188.0
142,317.0,76.0,3548.0,74.2,212.0,167.0
143,270.0,40.0,4366.1,69.7,201.0,154.0
144,281.0,66.0,3540.6,89.7,273.0,150.0
145,242.0,69.0,2512.2,95.4,195.0,215.0
146,276.0,76.0,2604.3,75.0,278.0,153.0
147,331.0,63.0,3006.5,77.1,193.0,198.0
148,241.0,64.0,3017.3,76.1,158.0,162.0
149,260.0,73.0,1720.0,117.9,222.0,217.0
150,266.0,63.0,2969.3,107.7,194.0,231.0
151,267.0,69.0,3277.9,96.2,131.0,147.0
152,181.0,63.0,3071.8,101.2,195.0,215.0
153,158.0,80.0,4196.9,68.2,165.0,164.0
154,201.0,69.0,2841.7,76.0,207.0,187.0
155,261.0,78.0,2267.6,103.8,199.0,146.0
156,281.0,91.0,3933.4,72.6,178.0,220.0
157,226.0,59.0,3118.9,85.7,231.0,222.0
158,323.0,60.0,3377.4,91.2,197.0,203.0
159,246.0,81.0,2688.1,67.9,215.0,107.0
160,254.0,66.0,3446.7,96.4,179.0,172.0
161,243.0,59.0,2419.2,90.1,198.0,231.0
162,260.0,69.0,3871.7,48.4,213.0,207.0
163,289.0,83.0,3178.4,90.6,227.0,151.0
164,287.0,76.0,3471.2,67.7,185.0,188.0
165,207.0,35.0,2844.1,83.4,173.0,175.0
166,330.0,32.0,3348.4,95.8,294.0,155.0
167,197.0,62.0,2768.3,62.4,153.0,183.0
168,257.0,61.0,2981.3,70.9,170.0,199.0
169,239.0,41.0,2893.3,53.3,214.0,148.0
170,200.0,81.0,3197.1,80.8,215.0,152.0
171,249.0,61.0,3289.1,65.7,96.0,201.0
172,215.0,63.0,2929.7,98.5,178.0,188.0
173,257.0,80.0,3273.2,87.0,228.0,97.0
174,273.0,58.0,3873.6,120.0,246.0,203.0
175,327.0,68.0,3016.6,69.0,171.0,162.0
176,268.0,64.0,3454.3,76.7,183.0,173.0
177,222.0,69.0,2281.8,57.5,171.0,198.0
178,233.0,70.0,2330.5,124.9,188.0,179.0
179,260.0,53.0,3941.9,69.2,190.0,175.0
180,258.0,73.0,2586.9,86.7,191.0,170.0
181,327.0,46.0,2724.7,67.5,257.0,172.0
182,324.0,75.0,3398.5,62.8,206.0,171.0
183,235.0,60.0,1889.9,75.8,193.0,168.0
184,225.0,68.0,2976.7,61.6,225.0,164.0
185,123.0,60.0,2455.6,48.5,88.0,163.0
186,225.0,82.0,3715.7,78.3,186.0,134.0
187,203.0,36.0,3847.1,76.3,118.0,193.0
188,235.0,66.0,2743.9,91.9,183.0,184.0
189,273.0,70.0,3386.0,86.6,182.0,262.0
190,262.0,74.0,2231.4,79.6,199.0,185.0
191,251.0,81.0,2734.6,67.3,201.0,185.0
192,263.0,73.0,3271.2,78.8,240.0,225.0
193,246.0,89.0,4706.1,73.3,115.0,178.0
194,263.0,67.0,3270.9,68.6,269.0,200.0
195,89.0,62.0,2835.6,89.7,200.0,165.0
196,239.0,58.0,2675.8,90.7,201.0,238.0
197,247.0,68.0,3767.3,67.3,109.0,154.0
198,236.0,88.0,3352.4,100.8,207.0,89.0
199,242.0,48.0,3262.4,100.6,235.0,137.0
200,288.0,86.0,2496.2,80.1,172.0,204.0
201,223.0,71.0,3113.8,104.2,209.0,135.0
202,364.0,89.0,3003.1,86.0,230.0,193.0
203,288.0,67.0,3436.6,67.6,185.0,157.0
204,253.0,47.0,3805.2,98.7,208.0,217.0
205,242.0,64.0,3965.1,88.2,149.0,188.0
206,248.0,65.0,3349.9,87.4,189.0,180.0
207,206.0,54.0,2883.9,97.5,270.0,166.0
208,248.0,57.0,4398.4,74.4,177.0,172.0
209,267.0,71.0,3317.4,82.7,199.0,187.0
210,282.0,76.0,3505.1,70.9,162.0,214.0
211,282.0,62.0,3557.9,72.9,215.0,133.0
212,239.0,54.0,2631.9,77.3,208.0,197.0
213,181.0,40.0,2811.1,91.0,298.0,171.0
214,219.0,68.0,3482.0,83.1,245.0,198.0
215,335.0,64.0,3794.3,93.2,229.0,207.0
216,298.0,63.0,3035.3,76.2,179.0,159.0
217,272.0,59.0,3147.1,88.1,208.0,171.0
218,214.0,68.0,3245.7,92.9,213.0,237.0
219,253.0,40.0,3143.6,80.1,238.0,231.0
220,189.0,75.0,2730.2,103.4,244.0,184.0
221,225.0,65.0,2778.2,52.9,214.0,151.0
222,240.0,89.0,2912.6,65.9,229.0,182.0
223,234.0,72.0,3064.5,80.1,157.0,181.0
224,301.0,92.0,2955.9,103.7,187.0,129.0
225,181.0,66.0,3163.2,94.4,200.0,174.0
226,209.0,66.0,3576.4,79.8,203.0,209.0
227,183.0,55.0,3191.9,65.3,217.0,161.0
228,190.0,58.0,3700.9,68.2,113.0,175.0
229,259.0,83.0,1742.4,74.2,158.0,129.0
230,172.0,77.0,4082.1,73.9,194.0,176.0
231,291.0,62.0,3856.3,94.7,183.0,225.0
232,240.0,70.0,3526.8,64.2,171.0,158.0
233,256.0,78.0,4194.2,81.9,123.0,233.0
234,269.0,42.0,3658.6,74.3,121.0,180.0
235,231.0,75.0,2876.0,78.3,178.0,181.0
236,305.0,55.0,3604.9,64.1,232.0,234.0
237,243.0,67.0,3994.4,91.8,217.0,224.0
238,283.0,49.0,2394.2,80.2,162.0,230.0
239,243.0,54.0,3608.7,63.1,182.0,181.0
240,268.0,69.0,3743.2,105.0,225.0,194.0
241,267.0,63.0,4071.5,82.9,198.0,146.0
242,265.0,66.0,3489.1,66.8,221.0,182.0
243,203.0,80.0,1816.4,96.4,196.0,181.0
244,275.0,87.0,3372.7,80.9,180.0,199.0
245,237.0,67.0,3336.6,89.9,235.0,167.0
246,285.0,65.0,2807.5,111.7,211.0,191.0
247,144.0,67.0,4085.8,67.5,177.0,138.0
248,179.0,77.0,3286.4,72.2,209.0,217.0
249,271.0,69.0,3828.5,81.0,190.0,227.0
250,347.0,59.0,3952.8,88.8,219.0,224.0
251,295.0,82.0,3708.0,85.5,173.0,201.0
252,218.0,67.0,2699.4,70.1,273.0,192.0
253,167.0,74.0,2382.0,63.5,179.0,173.0
254,290.0,74.0,1867.5,68.2,191.0,177.0
255,249.0,80.0,2142.9,74.8,235.0,184.0
256,283.0,48.0,3648.8,94.7,265.0,194.0
257,259.0,52.0,3280.8,93.4,185.0,227.0
258,254.0,68.0,3914.2,93.4,279.0,194.0
259,403.0,77.0,2584.3,74.7,237.0,169.0
260,253.0,58.0,3112.0,82.6,188.0,196.0
261,245.0,70.0,3646.4,101.3,172.0,180.0
262,247.0,82.0,4239.4,93.4,199.0,154.0
263,223.0,74.0,3526.4,96.9,165.0,176.0
264,303.0,55.0,3279.7,96.2,201.0,218.0
265,235.0,88.0,4116.9,67.1,186.0,187.0
266,285.0,65.0,3661.4,63.3,195.0,165.0
267,267.0,45.0,3740.1,106.9,167.0,194.0
268,315.0,96.0,4049.6,88.5,205.0,204.0
269,274.0,57.0,2835.8,86.0,263.0,193.0
270,191.0,68.0,4054.2,98.9,203.0,242.0
271,186.0,62.0,3609.3,77.5,217.0,166.0
272,324.0,74.0,2546.4,98.4,223.0,211.0
273,222.0,58.0,3153.4,75.3,210.0,157.0
274,186.0,62.0,4124.9,51.1,132.0,179.0
275,219.0,60.0,4131.6,85.9,178.0,159.0
276,317.0,99.0,3541.4,113.9,186.0,135.0
277,181.0,56.0,3290.1,85.3,226.0,162.0
278,209.0,74.0,2634.2,84.7,143.0,208.0
279,219.0,52.0,2590.4,83.7,254.0,181.0
280,189.0,40.0,2305.4,97.2,185.0,130.0
281,193.0,71.0,3301.7,86.5,227.0,171.0
282,176.0,59.0,3485.8,78.9,169.0,258.0
283,229.0,58.0,2110.1,87.0,151.0,231.0
284,235.0,70.0,1686.8,73.2,211.0,169.0
285,218.0,71.0,2840.6,90.6,182.0,194.0
286,169.0,54.0,2773.7,79.1,175.0,220.0
287,316.0,81.0,2817.0,53.9,238.0,165.0
288,185.0,83.0,2773.4,72.9,191.0,145.0
289,267.0,66.0,3855.4,57.7,245.0,207.0
290,198.0,69.0,3112.1,86.9,273.0,158.0
291,287.0,69.0,4112.8,84.1,210.0,149.0
292,301.0,61.0,4039.6,120.6,294.0,232.0
293,208.0,89.0,3186.8,86.0,177.0,194.0
294,155.0,59.0,3387.8,49.5,184.0,174.0
295,288.0,95.0,2100.2,90.1,217.0,173.0
296,348.0,46.0,1355.8,81.0,137.0,191.0
297,274.0,60.0,3257.1,79.3,174.0,138.0
298,261.0,79.0,2820.6,72.0,256.0,173.0
299,294.0,58.0,2628.0,63.2,141.0,156.0
300,292.0,65.0,3774.5,80.8,216.0,243.0
301,211.0,55.0,2934.9,76.5,202.0,225.0
302,219.0,87.0,3383.4,88.4,221.0,160.0
303,284.0,55.0,3186.0,60.8,245.0,187.0
304,246.0,79.0,3211.0,89.3,196.0,147.0
305,320.0,49.0,3654.2,73.2,337.0,230.0
306,217.0,80.0,3762.6,76.0,200.0,196.0
307,291.0,63.0,3826.3,94.6,198.0,180.0
308,270.0,74.0,4324.1,82.9,179.0,208.0
309,246.0,74.0,3279.2,73.6,303.0,167.0
310,312.0,51.0,3345.6,80.8,215.0,152.0
311,287.0,62.0,2344.7,100.4,226.0,142.0
312,202.0,65.0,2510.4,88.6,108.0,149.0
313,285.0,77.0,4135.0,109.9,189.0,150.0
314,322.0,76.0,2737.2,99.2,196.0,174.0
315,246.0,70.0,3871.2,67.7,230.0,204.0
316,240.0,90.0,4827.4,79.7,257.0,143.0
317,219.0,70.0,3812.2,109.0,204.0,170.0
318,252.0,91.0,2666.6,79.1,198.0,161.0
319,288.0,64.0,1886.2,95.8,243.0,248.0
320,211.0,73.0,2496.1,58.2,192.0,202.0
321,185.0,86.0,3068.4,55.3,196.0,250.0
323,183.0,69.0,2767.9,77.1,214.0,104.0
324,279.0,72.0,2515.0,72.0,263.0,230.0
325,231.0,67.0,4058.1,92.4,174.0,182.0
326,164.0,48.0,3158.8,82.8,210.0,180.0
327,235.0,66.0,3329.4,79.3,142.0,148.0
328,243.0,76.0,2884.9,88.6,166.0,216.0
329,276.0,59.0,4010.0,83.2,183.0,216.0
330,245.0,68.0,3162.9,94.0,145.0,183.0
331,347.0,64.0,2985.8,64.3,179.0,204.0
332,227.0,40.0,3301.6,102.4,183.0,229.0
333,250.0,68.0,2835.8,107.4,192.0,245.0
334,248.0,68.0,3365.2,81.8,193.0,172.0
335,239.0,59.0,2574.0,88.4,160.0,179.0
336,260.0,79.0,3148.2,76.4,257.0,125.0
337,280.0,49.0,2977.4,60.3,228.0,205.0
338,321.0,64.0,2892.6,75.8,170.0,134.0
339,173.0,54.0,3181.9,77.4,116.0,165.0
340,227.0,86.0,3056.5,94.6,64.0,223.0
341,230.0,85.0,2923.2,82.6,235.0,199.0
342,300.0,67.0,2702.7,71.9,188.0,134.0
343,235.0,68.0,2942.8,71.5,176.0,206.0
344,157.0,79.0,3902.2,113.7,212.0,158.0
345,257.0,48.0,1580.5,59.4,130.0,272.0
346,251.0,74.0,4301.2,50.7,294.0,238.0
347,262.0,51.0,4462.9,105.7,165.0,152.0
348,200.0,84.0,2932.1,75.6,197.0,201.0
349,340.0,44.0,3125.7,64.0,184.0,148.0
350,236.0,71.0,3151.1,96.0,195.0,66.0
351,243.0,64.0,4458.7,81.5,158.0,122.0
352,207.0,63.0,3748.4,89.3,173.0,247.0
353,206.0,80.0,3369.8,79.4,279.0,229.0
354,191.0,64.0,3198.9,80.2,220.0,229.0
355,233.0,59.0,3594.6,51.8,247.0,189.0
356,204.0,60.0,3415.5,100.5,168.0,173.0
357,357.0,68.0,3145.6,99.3,161.0,225.0
358,157.0,67.0,3945.1,106.0,209.0,218.0
359,196.0,60.0,4322.6,122.5,218.0,140.0
360,232.0,72.0,2870.9,53.0,166.0,210.0
361,287.0,61.0,4251.5,71.1,264.0,213.0
362,232.0,52.0,4100.1,76.2,151.0,162.0
363,287.0,50.0,3725.2,54.5,218.0,149.0
364,203.0,54.0,3613.1,62.5,191.0,186.0
365,256.0,67.0,2477.2,57.5,158.0,195.0
366,341.0,57.0,4018.0,89.5,163.0,132.0
367,204.0,76.0,4154.1,59.0,219.0,236.0
368,274.0,43.0,4304.4,73.8,193.0,209.0
369,263.0,65.0,3236.3,76.7,160.0,195.0
370,139.0,73.0,2696.1,84.9,172.0,193.0
371,223.0,67.0,3272.3,95.7,190.0,199.0
372,310.0,51.0,3263.1,68.4,169.0,171.0
373,260.0,44.0,3620.3,75.5,169.0,165.0
374,191.0,72.0,3939.3,61.3,140.0,144.0
375,288.0,72.0,2648.7,53.8,202.0,283.0
376,229.0,74.0,3413.8,94.1,212.0,219.0
377,271.0,92.0,3433.7,87.9,197.0,245.0
378,272.0,53.0,2930.1,96.1,232.0,188.0
379,196.0,51.0,3641.7,62.2,164.0,183.0
380,293.0,47.0,1781.9,90.2,271.0,223.0
381,202.0,52.0,3260.3,33.8,233.0,223.0
382,187.0,58.0,3469.1,80.6,226.0,245.0
383,208.0,69.0,2983.7,76.4,235.0,231.0
384,235.0,63.0,3586.6,98.6,183.0,241.0
385,258.0,68.0,3226.2,54.2,298.0,163.0
386,214.0,47.0,2099.7,96.4,272.0,189.0
387,291.0,81.0,3231.9,87.9,249.0,234.0
388,266.0,49.0,3569.5,73.8,170.0,253.0
389,218.0,61.0,3370.9,78.7,148.0,208.0
390,298.0,74.0,3223.5,89.8,201.0,220.0
391,312.0,111.0,3211.7,68.8,136.0,220.0
392,248.0,74.0,3407.9,86.2,216.0,202.0
393,242.0,58.0,3468.7,60.2,226.0,177.0
394,163.0,88.0,3321.6,82.8,210.0,210.0
395,232.0,73.0,3336.7,78.8,257.0,188.0
396,238.0,78.0,2756.5,81.2,208.0,217.0
397,265.0,58.0,2707.3,81.0,214.0,179.0
398,244.0,77.0,2901.8,94.2,136.0,179.0
399,265.0,68.0,4973.6,68.4,218.0,199.0
400,331.0,49.0,3608.9,100.3,127.0,154.0
401,226.0,53.0,4332.2,93.1,169.0,168.0
402,228.0,71.0,3659.9,82.0,168.0,184.0
403,186.0,39.0,3798.1,90.2,223.0,168.0
404,252.0,60.0,2482.7,54.3,181.0,225.0
405,302.0,62.0,3042.5,75.7,207.0,203.0
406,164.0,49.0,3260.7,68.6,194.0,218.0
407,219.0,75.0,2723.4,72.6,172.0,182.0
408,255.0,47.0,2573.8,100.5,129.0,219.0
409,296.0,57.0,3752.9,90.4,153.0,154.0
410,272.0,61.0,3678.0,78.1,150.0,204.0
411,269.0,62.0,2834.8,82.4,165.0,233.0
412,241.0,70.0,3866.2,100.9,261.0,174.0
413,277.0,73.0,2671.1,68.3,221.0,232.0
414,304.0,56.0,2918.5,67.1,232.0,147.0
415,166.0,80.0,3321.4,61.2,180.0,134.0
416,290.0,72.0,3345.8,87.4,165.0,204.0
417,248.0,65.0,3927.7,92.0,124.0,176.0
418,226.0,87.0,3584.9,111.5,174.0,129.0
419,129.0,71.0,2427.8,101.3,200.0,171.0
420,183.0,72.0,2832.8,77.8,203.0,194.0
421,339.0,45.0,4184.6,75.9,233.0,239.0
422,218.0,74.0,3052.4,91.2,162.0,205.0
423,198.0,60.0,2471.6,60.7,253.0,153.0
424,230.0,63.0,3029.4,107.4,204.0,230.0
425,215.0,92.0,2452.8,82.4,182.0,199.0
426,259.0,32.0,3342.8,76.4,182.0,162.0
427,330.0,63.0,4239.0,84.2,220.0,156.0
428,223.0,78.0,2729.6,92.1,140.0,187.0
429,261.0,66.0,2471.9,53.0,233.0,135.0
430,195.0,76.0,2911.5,78.7,263.0,163.0
431,330.0,62.0,3918.1,75.6,175.0,236.0
432,262.0,62.0,2911.5,78.7,220.0,197.0
433,198.0,100.0,3336.7,82.4,163.0,198.0
434,299.0,88.0,4545.3,89.0,234.0,227.0
435,314.0,50.0,1754.1,96.7,251.0,175.0
436,261.0,72.0,3602.0,114.3,191.0,145.0
437,170.0,64.0,1955.2,94.5,209.0,182.0
438,343.0,32.0,2924.4,84.2,211.0,184.0
439,269.0,50.0,2725.6,78.2,248.0,149.0
440,312.0,73.0,1383.3,82.0,225.0,184.0
441,225.0,48.0,3059.3,104.1,201.0,162.0
442,233.0,59.0,2595.6,120.2,195.0,208.0
443,258.0,66.0,3520.1,46.8,210.0,228.0
444,309.0,66.0,4637.2,84.1,148.0,187.0
445,260.0,70.0,2347.0,108.8,222.0,160.0
446,189.0,91.0,3629.1,80.0,151.0,208.0
447,266.0,59.0,1992.9,57.0,219.0,105.0
448,335.0,76.0,2624.9,58.1,218.0,185.0
449,256.0,68.0,3096.3,74.4,229.0,156.0
450,259.0,69.0,2654.8,95.5,184.0,163.0
451,189.0,60.0,4650.5,81.5,170.0,218.0
452,182.0,69.0,3136.2,73.1,220.0,175.0
453,221.0,67.0,2682.8,67.7,225.0,181.0
454,236.0,44.0,3151.1,68.8,248.0,124.0
455,258.0,31.0,3360.4,91.7,157.0,226.0
456,261.0,75.0,3792.9,85.7,223.0,243.0
457,334.0,79.0,3082.9,84.0,176.0,221.0
458,256.0,38.0,3668.0,61.1,170.0,236.0
459,307.0,61.0,2968.7,100.5,259.0,166.0
460,251.0,73.0,3638.3,72.8,236.0,204.0
461,326.0,72.0,3237.7,74.9,178.0,214.0
462,158.0,48.0,1959.9,85.0,168.0,264.0
463,222.0,64.0,3938.2,57.6,215.0,233.0
464,303.0,76.0,5221.4,70.0,234.0,210.0
465,244.0,96.0,3436.5,85.4,196.0,141.0
466,300.0,59.0,2978.6,88.2,193.0,233.0
467,272.0,58.0,3428.8,84.2,166.0,133.0
468,301.0,46.0,4329.0,73.0,253.0,224.0
469,284.0,73.0,2312.6,105.6,301.0,196.0
470,287.0,63.0,2790.2,57.2,180.0,177.0
471,328.0,60.0,3047.7,71.7,243.0,185.0
472,303.0,89.0,2895.2,79.6,220.0,242.0
473,303.0,62.0,3542.9,37.5,104.0,177.0
474,254.0,83.0,2308.0,77.5,209.0,192.0
475,223.0,66.0,3095.5,76.1,226.0,253.0
476,219.0,79.0,2945.2,91.1,190.0,219.0
477,291.0,76.0,2693.6,79.6,243.0,244.0
478,129.0,83.0,4233.2,57.1,231.0,215.0
479,187.0,63.0,2928.8,92.6,149.0,168.0
480,204.0,62.0,3452.7,91.3,169.0,189.0
481,240.0,46.0,3416.5,91.4,156.0,217.0
482,120.0,73.0,3746.4,67.5,259.0,190.0
483,317.0,84.0,3356.2,78.4,127.0,149.0
484,283.0,86.0,2074.1,79.9,236.0,190.0
485,353.0,78.0,3583.2,114.0,187.0,141.0
486,307.0,78.0,3726.5,63.2,154.0,184.0
487,305.0,56.0,3059.6,84.7,189.0,207.0
488,367.0,54.0,2161.7,74.0,174.0,236.0
489,224.0,58.0,3560.7,104.0,221.0,207.0
490,177.0,42.0,3000.3,68.2,245.0,221.0
491,241.0,65.0,4208.7,64.2,190.0,190.0
492,211.0,105.0,3702.2,32.8,162.0,143.0
493,240.0,57.0,3718.7,88.1,172.0,159.0
494,200.0,35.0,3795.6,75.8,165.0,241.0
495,282.0,75.0,3865.5,68.0,189.0,177.0
496,279.0,53.0,4364.4,88.7,253.0,202.0
497,251.0,89.0,2827.2,84.8,235.0,178.0
498,269.0,40.0,2739.4,55.7,190.0,144.0
499,246.0,77.0,3500.1,85.6,178.0,152.0
500,291.0,58.0,3324.7,51.6,190.0,199.0
501,256.0,73.0,4499.2,71.2,175.0,237.0
502,239.0,77.0,2813.5,45.9,179.0,193.0
503,300.0,81.0,3934.8,88.2,114.0,167.0
504,317.0,60.0,3363.3,71.9,174.0,153.0
505,321.0,71.0,2888.6,83.4,198.0,142.0
506,203.0,79.0,2834.9,85.8,173.0,167.0
507,226.0,82.0,2409.0,76.6,150.0,209.0
508,167.0,87.0,2832.0,34.3,209.0,180.0
509,241.0,68.0,3330.1,89.0,228.0,109.0
510,274.0,66.0,3056.3,88.1,213.0,208.0
511,246.0,91.0,4316.1,90.7,94.0,191.0
512,351.0,78.0,3882.2,92.5,212.0,154.0
513,232.0,72.0,2818.3,67.4,200.0,191.0
514,198.0,69.0,3613.0,96.5,240.0,207.0
515,282.0,50.0,2799.8,85.1,201.0,171.0
